seed,n_folds,candidate,n_systems,cv_eer,cv_eer_se,threshold,headroom,in_1se_band,is_best,selected
46,10,ours+all,6,26.16683201058201,0.779619827228097,26.946451837810105,0.7796198272280961,True,True,False
46,10,ours+4base,5,26.38514109347443,0.8910103054377906,26.946451837810105,0.5613107443356746,True,False,False
46,10,ours+2GMM,3,26.715332892416228,0.8550671787322022,26.946451837810105,0.23111894539387734,True,False,True
46,10,ours,1,29.047178130511462,0.7014279599380433,26.946451837810105,-2.1007262927013564,False,False,False
47,10,ours+all,6,25.842860292265055,0.6475570288957384,26.490417321160795,0.64755702889574,True,True,False
47,10,ours+4base,5,26.2510865457294,0.6627923947266802,26.490417321160795,0.23933077543139447,True,False,True
47,10,ours+2GMM,3,26.539068405139837,0.6764948638065555,26.490417321160795,-0.04865108397904194,False,False,False
47,10,ours,1,29.05605946082136,0.738199604444806,26.490417321160795,-2.5656421396605644,False,False,False
48,10,ours+all,6,26.395227072310405,0.7998282093619987,27.195055281672403,0.7998282093619977,True,True,False
48,10,ours+4base,5,26.58779761904762,0.9096271883415842,27.195055281672403,0.6072576626247823,True,False,False
48,10,ours+2GMM,3,26.706294091710753,0.8893876544849764,27.195055281672403,0.4887611899616502,True,False,True
48,10,ours,1,29.02888007054674,0.8698836737284136,27.195055281672403,-1.8338247888743382,False,False,False
49,10,ours+all,6,26.426752645502642,0.7843198248124456,27.211072470315088,0.7843198248124459,True,True,False
49,10,ours+4base,5,26.80379188712522,0.8020994696575601,27.211072470315088,0.40728058318986626,True,False,False
49,10,ours+2GMM,3,27.005511463844794,0.8179653665764895,27.211072470315088,0.20556100647029396,True,False,True
49,10,ours,1,29.19653880070547,0.9601824709977875,27.211072470315088,-1.9854663303903806,False,False,False
50,10,ours+all,6,26.081923973293023,0.9936215252054439,27.075545498498467,0.9936215252054446,True,True,False
50,10,ours+4base,5,26.27703766691862,0.9970076661593881,27.075545498498467,0.7985078315798475,True,False,False
50,10,ours+2GMM,3,26.560933169564123,0.9945731979447073,27.075545498498467,0.5146123289343443,True,False,True
50,10,ours,1,29.002810846560845,1.220964932937098,27.075545498498467,-1.9272653480623774,False,False,False
51,10,ours+all,6,26.032682980599652,0.9031267100908801,26.935809690690533,0.9031267100908806,True,True,False
51,10,ours+4base,5,26.33261684303351,0.9195484521380833,26.935809690690533,0.6031928476570236,True,False,False
51,10,ours+2GMM,3,26.480875220458557,0.9575182473417878,26.935809690690533,0.45493447023197575,True,False,True
51,10,ours,1,29.037643298059965,1.116613109398292,26.935809690690533,-2.101833607369432,False,False,False
52,10,ours+all,6,25.88274754346183,0.6060832000702637,26.48883074353209,0.6060832000702625,True,True,False
52,10,ours+4base,5,26.445145187704714,0.6523858655897596,26.48883074353209,0.04368555582737699,True,False,True
