candidate,n_folds,seed,fold,system,coef,coef_norm,intercept
ours+4base,5,43,1,LFCC-GMM,0.3010191234582057,0.15001185359009242,-2.144765492372245
ours+4base,5,43,1,LFCC-LCNN,0.13599513059096527,0.06777270953687398,-2.144765492372245
ours+4base,5,43,1,RawNet2,-0.09547273197571335,-0.047578510383162936,-2.144765492372245
ours+4base,5,43,2,timepool_T150_aug,1.0720558809527225,0.5092823844694736,-2.1454324330033177
ours+4base,5,43,2,CQCC-GMM,0.4562407939336155,0.21673814169114594,-2.1454324330033177
ours+4base,5,43,2,LFCC-GMM,0.31435347944474795,0.1493342767129105,-2.1454324330033177
ours+4base,5,43,2,LFCC-LCNN,0.15156854905255665,0.07200295567005853,-2.1454324330033177
ours+4base,5,43,2,RawNet2,-0.11081361983228342,-0.0526422414564114,-2.1454324330033177
ours+4base,5,43,3,timepool_T150_aug,1.039437259880844,0.5328909415405673,-2.1379084557908934
ours+4base,5,43,3,CQCC-GMM,0.4190665505348764,0.21484391343474446,-2.1379084557908934
ours+4base,5,43,3,LFCC-GMM,0.3101945682874648,0.15902823762006194,-2.1379084557908934
ours+4base,5,43,3,LFCC-LCNN,0.11232134181454363,0.057584067749806796,-2.1379084557908934
ours+4base,5,43,3,RawNet2,-0.06954310360510321,-0.035652839654819496,-2.1379084557908934
ours+4base,5,43,4,timepool_T150_aug,1.0030308490126174,0.5445060367274005,-2.121427350667232
ours+4base,5,43,4,CQCC-GMM,0.436943686653991,0.23719955904370293,-2.121427350667232
ours+4base,5,43,4,LFCC-GMM,0.2719401945075392,0.14762564649326745,-2.121427350667232
ours+4base,5,43,4,LFCC-LCNN,0.11036084584606193,0.05991056689899162,-2.121427350667232
ours+4base,5,43,4,RawNet2,-0.01981758981694169,-0.010758190836637439,-2.121427350667232
ours+all,5,43,0,timepool_T150_aug,0.7695527185228005,0.370173885721702,-2.197785526999489
ours+all,5,43,0,flatten_T400_aug,0.49966648289272464,0.24035193312336545,-2.197785526999489
ours+all,5,43,0,CQCC-GMM,0.32268321610858364,0.15521860567704698,-2.197785526999489
ours+all,5,43,0,LFCC-GMM,0.3644416507671765,0.17530544527511815,-2.197785526999489
ours+all,5,43,0,LFCC-LCNN,0.04620141065973058,0.022224020912518957,-2.197785526999489
ours+all,5,43,0,RawNet2,-0.07634973274782592,-0.036726109290248485,-2.197785526999489
ours+all,5,43,1,timepool_T150_aug,0.7516813885945062,0.3559919478964645,-2.198950931447899
ours+all,5,43,1,flatten_T400_aug,0.5029191775720238,0.23817960691179627,-2.198950931447899
ours+all,5,43,1,CQCC-GMM,0.3751345969810157,0.1776615703527384,-2.198950931447899
ours+all,5,43,1,LFCC-GMM,0.3068394329745852,0.14531737660860797,-2.198950931447899
ours+all,5,43,1,LFCC-LCNN,0.06710206136561174,0.03177914725024337,-2.198950931447899
ours+all,5,43,1,RawNet2,-0.10783567596852564,-0.05107035098014928,-2.198950931447899
ours+all,5,43,2,timepool_T150_aug,0.8043765879539699,0.37291017892513184,-2.1843716922674745
ours+all,5,43,2,flatten_T400_aug,0.41869555601661496,0.19410788062151832,-2.1843716922674745
ours+all,5,43,2,CQCC-GMM,0.43038919701424777,0.1995290699276435,-2.1843716922674745
