C,gamma,eer,threshold,fit_seconds,score_seconds,n_support,n_train
10.0,0.01,0.1072063477018335,-0.4146315262076254,594.2677159309387,89.98252558708191,15191,80000
100.0,0.01,0.1233289627154701,-0.6362222083962297,667.2230072021484,73.25313091278076,12846,80000
0.1,scale,0.1071671550700483,0.218312405865423,434.21184945106506,165.17042589187622,27378,80000
1.0,scale,0.0961806366583504,0.0340488001362752,396.1062519550324,117.96248126029968,19725,80000
10.0,scale,0.1068522599517125,-0.3615587837272659,546.063539981842,92.32207465171814,14803,80000
100.0,scale,0.1232186817208499,-0.6715334255599762,648.7768034934998,68.61702799797058,12201,80000
0.1,0.1,0.2278974243821048,-0.7916335603412709,1422.8607366085052,465.12140440940857,75400,80000
1.0,0.1,0.1851949833431315,-0.6354280810109607,3908.706607103348,471.3614270687103,72237,80000
10.0,0.1,0.1809814745230968,-0.6390843488613058,2791.365344762802,470.7079517841339,71962,80000
100.0,0.1,0.1808613953705302,-0.6390737174479546,2802.136628627777,446.1530759334564,71936,80000
0.1,0.001,0.1298164716626364,0.2866262576511156,875.0956137180328,251.58091282844543,41101,100000
1.0,0.001,0.1126021989247979,0.236289668722053,633.4216275215149,186.9363145828247,30788,100000
10.0,0.001,0.0997411104754532,0.1809632126473346,517.5211997032166,144.87790656089783,23789,100000
100.0,0.001,0.0993220840700758,-0.002139109872985,830.9684426784515,114.68789315223694,18254,100000
0.1,0.01,0.1046787426612549,0.1903136219956301,690.3534724712372,204.4596815109253,33276,100000
1.0,0.01,0.0945596715341508,-0.0254461280802338,674.9569227695465,142.65085768699646,23861,100000
10.0,0.01,0.1051271635404712,-0.4316505991483222,900.818068742752,107.8900909423828,18050,100000
100.0,0.01,0.1215327779413938,-0.673136586777574,1000.048327922821,87.56649971008301,14975,100000
0.1,scale,0.1043442512270265,0.2164532553713386,682.0342741012573,199.5991146564484,32883,100000
1.0,scale,0.0942313298075009,0.0334813303558318,618.8310027122498,144.23231625556946,23634,100000
10.0,scale,0.1031165664847331,-0.3817417623228978,844.016184091568,102.93251013755798,17590,100000
100.0,scale,0.1201225766484883,-0.7006790663109597,954.0401113033296,82.28123426437378,14265,100000
0.1,0.1,0.2259873101630406,-0.7969781422840926,2385.8809463977814,576.2119660377502,92856,100000
1.0,0.1,0.1817582371289629,-0.6366507490019988,14981.381410598757,641.5510454177856,88660,100000
10.0,0.1,0.1774699914957254,-0.6408940875918088,6698.610535144806,549.2490074634552,88266,100000
100.0,0.1,0.1774957375191967,-0.6408747316476622,7257.434370279312,553.275128364563,88223,100000
0.1,0.001,0.1266492782274398,0.2651779325916097,2737.0197718143463,353.2961163520813,58169,150000
1.0,0.001,0.10953548832627527,0.22675784525327458,1486.4447014331818,320.0531792640686,44012,150000
10.0,0.001,0.09774646128523998,0.18144937775658576,1172.5512652397156,205.01794171333313,34042,150000
100.0,0.001,0.09887366319085944,0.04046553240872086,2443.240641593933,159.16292929649353,26099,150000
0.1,0.01,0.10115746147593735,0.18035082959514614,1666.554491519928,290.25232791900635,46664,150000
1.0,0.01,0.09362728559430059,-0.03693088463461203,1508.9612107276917,201.71409916877747,33358,150000
10.0,0.01,0.10656311085684794,-0.4471518186501544,2039.4707243442535,149.4156711101532,24678,150000
100.0,0.01,0.12183787490178331,-0.7358862453052518,2677.454354286194,155.74126505851746,19729,150000
0.1,scale,0.10116725963388365,0.2107196766762759,2062.44691324234,358.9280300140381,46248,150000
1.0,scale,0.09403286539136402,0.020204090543598174,1814.8538382053375,291.91562366485596,33029,150000
10.0,scale,0.10500708438790475,-0.38344146001476276,1986.8908133506775,145.89287424087524,24267,150000
100.0,scale,0.12099002393308216,-0.7756343799078371,3119.2706463336945,114.10358786582947,18952,150000
0.1,0.1,0.22172845900364208,-0.8053642389945982,5394.815148115158,843.2333083152771,135056,150000
1.0,0.1,0.17615412333191535,-0.6379999851075129,9739.753954410553,1001.8119974136353,128260,150000
10.0,0.1,0.17250911454366347,-0.6427726187319709,9462.62918305397,780.3923757076263,127062,150000
100.0,0.1,0.1725483071754487,-0.6427267595147783,9262.799754142761,769.1492416858673,126999,150000
0.1,0.001,0.12539834871888617,0.2566550138981505,2691.5194261074066,413.5240454673767,66826,175959
1.0,0.001,0.1077846458915628,0.22925104074471747,1759.4644558429718,307.17392230033875,50659,175959
10.0,0.001,0.09679447902949713,0.18443837922300332,1471.2332971096039,235.73524069786072,39042,175959
100.0,0.001,0.09660946122167421,0.020095992517305206,2643.8735032081604,180.22670102119446,29929,175959
0.1,0.01,0.1001601368808307,0.1749768836335125,2043.9697570800781,326.0812327861786,53282,175959
1.0,0.01,0.0921557940965064,-0.03957672185269334,1655.9498074054718,231.63283157348633,37943,175959
10.0,0.01,0.10563072491699776,-0.47160968396309483,2560.174130678177,168.13548922538757,27887,175959
100.0,0.01,0.12086014662256933,-0.7609294158194446,3192.084919691086,132.19326376914978,22052,175959
0.1,scale,0.09989058410185869,0.20285075169476485,1941.769994020462,318.6678981781006,52803,175959
1.0,scale,0.09270469781239671,0.011319772534084893,1631.026223897934,225.61411714553833,37690,175959
10.0,scale,0.10386028616639267,-0.4115427101265592,2273.250278234482,166.55110359191895,27458,175959
100.0,scale,0.11958347109054439,-0.8036229879341498,4093.231367588043,125.72961091995239,21261,175959
0.1,0.1,0.22072133625058912,-0.8111923226136201,7510.106053352356,935.3372702598572,156340,175959
1.0,0.1,0.17475736864732389,-0.6391203085931372,14945.164015054703,967.4811608791351,148262,175959
10.0,0.1,0.17108661383560084,-0.6436599795412662,15980.879446744919,935.0527515411377,146633,175959
100.0,0.1,0.1709824825485592,-0.6436760613057919,9970.68352651596,936.9823389053345,146514,175959
